Index,WindSpeed
0,9.17
1,9.93
2,11.32
3,10.01
4,10.04
5,10.85
6,10.2
7,11.75
8,10.52
9,9.5
10,11.4
11,10.81
12,10.75
13,10.32
14,10.47
15,9.24
16,10.46
17,9.83
18,12.42
19,11.69
20,9.96
21,10.3
22,12.09
23,10.98
24,11.26
25,10.7
26,10.18
27,10.7
28,12.2
29,11.6
30,12.12
31,12.4
32,12.41
33,11.94
34,11.3
35,12.75
36,11.45
37,11.57
38,11.24
39,13.07
40,12.88
41,12.59
42,13.41
43,13.11
44,12.46
45,11.45
46,12.64
47,13.34
48,13.37
49,13.49
50,12.41
51,12.73
52,12.79
53,12.72
54,12.04
55,13.8
56,13.01
57,13.16
58,11.39
59,12.97
60,12.48
61,13.01
62,12.67
63,12.5
64,12.84
65,13.4
66,12.44
67,12.68
68,11.49
69,13.72
70,13.52
71,13.45
72,14.14
73,14.1
74,14.03
75,12.98
76,13.59
77,13.11
78,13.45
79,12.19
80,13.37
81,12.97
82,13.79
83,13.05
84,13.2
85,13.11
86,13.1
87,13.04
88,13.08
89,13.46
90,13.58
91,13.68
92,13.46
93,13.37
94,13.42
95,12.86
96,12.29
97,13.58
98,14.18
99,13.17
100,13.89
101,13.74
102,13.5
103,13.13
104,13.6
105,12.62
106,11.84
107,12.08
108,12.05
109,13.66
110,13.45
111,13.42
112,13.55
113,13.73
114,12.45
115,12.84
116,12.52
117,13.06
118,13.04
119,12.86
120,13.94
121,13.84
122,12.76
123,12.96
124,13.27
125,12.92
126,12.01
127,13.01
128,12.44
129,12.47
130,12.91
131,13.1
132,12.51
133,12.3
134,13.58
135,13.06
136,13.38
137,13.52
138,13.07
139,13.38
140,12.73
141,13.11
142,13.05
143,12.86
144,13.91
145,13.14
146,12.65
147,12.88
148,12.84
149,13.04
150,12.96
151,13.49
152,13.25
153,13.13
154,12.89
155,12.89
156,13.3
157,13.3
158,12.46
159,12.56
160,12.92
161,11.36
162,12.27
163,11.92
164,13.14
165,13.64
166,12.84
167,13.65
168,12.96
169,13.17
170,12.55
171,13.24
172,13.35
173,12.04
174,12.86
175,12.66
176,13.09
177,12.84
178,13.04
179,12.36
180,11.46
181,11.84
182,12.64
183,12.81
184,11.85
185,12.09
186,11.65
187,12.61
188,12.04
189,10.7
190,12.66
191,12.77
192,11.74
193,11.98
194,11.29
195,11.57
196,10.59
197,11
198,11.56
199,10.14
200,12.06
201,11.67
202,11.7
203,10.87
204,11.08
205,10.61
206,11.43
207,11.93
208,10.64
209,11.32
210,12.41
211,11.41
212,10.88
213,12.09
214,11.34
215,11.41
216,11.19
217,10.82
218,10.49
219,10.47
220,11.57
221,10.82
222,11.82
223,11.39
224,11.1
225,11.02
226,11.48
227,11.39
228,11.63
229,11.43
230,11.44
231,11.59
232,10.66
233,10.41
234,10.93
235,10.66
236,10.67
237,11.2
238,10.31
239,10.96
240,11.29
241,11.74
242,11.59
243,12.08
244,11.48
245,12.37
246,12.3
247,12.11
248,12.01
249,12.29
250,12.04
251,11.8
252,12.31
253,10.72
254,12.78
255,11.94
256,11.58
257,11.77
258,12.28
259,12.41
260,12.41
261,12.28
262,12.6
263,12.01
264,12.48
265,12.45
266,11.75
267,12.45
268,11.73
269,11.82
270,12.02
271,11.76
272,11.99
273,12.52
274,12.42
275,12.11
276,12.63
277,12.72
278,11.9
279,12.37
280,12.24
281,12.33
282,11.66
283,12.23
284,12.23
285,11.76
286,11.37
287,11.65
288,12.28
289,11.78
290,11.72
291,11.69
292,11.43
293,11.44
294,11.11
295,10.68
296,11.26
297,11
298,11.28
299,12.55
300,12
301,12.14
302,11.89
303,11.95
304,11.51
305,11.24
306,12.78
307,12.72
308,11.82
309,11.94
310,13.11
311,13.01
312,13
313,13.17
314,11.63
315,12.38
316,11.83
317,12.84
318,12
319,11.71
320,12.31
321,12.47
322,11.82
323,12.53
324,12.59
325,12.56
326,12.16
327,12.74
328,12.69
329,12.22
330,12.15
331,12.42
332,12.7
333,12.38
334,12.07
335,12.24
336,12.16
337,11.52
338,12.44
339,11.87
340,11.89
341,12.59
342,12.16
343,11.92
344,11.23
345,11.49
346,11.07
347,12.03
348,11.94
349,11.37
350,11.35
351,11.57
352,11.85
353,12.42
354,11.88
355,12.05
356,12.14
357,11.88
358,11.9
359,11.53
360,11.11
361,11.53
362,11.58
363,12.13
364,12.65
365,11.38
366,11.37
367,11.55
368,12.03
369,11.93
370,11.94
371,11.69
372,12.26
373,12.33
374,12.05
375,12.04
376,12.43
377,12.3
378,12.33
379,12.44
380,12.52
381,12.65
382,11.29
383,12.15
384,12.42
385,11.81
386,12.4
387,12.45
388,12.54
389,12.18
390,12.14
391,12.4
392,12.63
393,12.05
394,12.23
395,11.83
396,11.7
397,12.71
398,12.6
399,12.03
400,12.41
401,11.85
402,12.45
403,12.16
404,12.29
405,12.04
406,12.27
407,12.05
408,12.19
409,12.13
410,12.24
411,12.52
412,12.26
413,12.14
414,12.13
415,12.27
416,11.44
417,11.91
418,11.61
419,11.67
420,12.22
421,12.05
422,12.51
423,12.44
424,12.51
425,12.26
426,11.79
427,11.94
428,11.91
429,12.28
430,12.11
431,11.99
432,11.73
433,12.06
434,12.35
435,12.39
436,12.24
437,11.43
438,10.95
439,11.34
440,12.05
441,11.57
442,11.27
443,10.91
444,11.26
445,10.41
446,10.95
447,10.38
448,10.39
449,10.29
450,10.76
451,11.14
452,10.57
453,10.8
454,10.84
455,10.73
456,12.02
457,11.13
458,11.87
459,11.12
460,10.22
461,10.37
462,11.64
463,10.24
464,10.67
465,9.43
466,10.08
467,9.93
468,10.25
469,8.32
470,8.81
471,8.61
472,8.92
473,8.72
474,10.55
475,9.85
476,10.54
477,9.38
478,10.33
479,9.06
480,9.04
481,10.31
482,9.48
483,10.34
484,9.69
485,9.19
486,9.59
487,10.4
488,10.63
489,10.24
490,9.85
491,9.43
492,10.99
493,9.7
494,10.77
495,10.35
496,10.25
497,9.22
498,10.86
499,10
500,10.59
501,9.55
502,8.71
503,9.13
504,10.54
505,9.83
506,10.71
507,10.96
508,10.47
509,10.4
510,10.49
511,10.22
512,10.08
513,11.19
514,9.62
515,10.52
516,10.37
517,10.85
518,11.27
519,9.7
520,10.55
521,11.22
522,9.96
523,9.09
524,10.19
525,10.7
526,9.98
527,10.73
528,10.39
529,10.24
530,9.13
531,10.43
532,10.18
533,9.68
534,11.03
535,9.36
536,10.48
537,10.76
538,9.78
539,9.94
540,9.57
541,9.51
542,9.14
543,9.9
544,10.13
545,10.47
546,8.9
547,8.35
548,9.14
549,9.88
550,9.9
551,10.06
552,8.85
553,9.53
554,9.83
555,10.82
556,9.52
557,9.93
558,10.76
559,11.08
560,10.3
561,10.7
562,11.42
563,10.48
564,10.21
565,11.29
566,10.49
567,10.04
568,10.5
569,10.51
570,10.58
571,10.65
572,10.8
573,11.13
574,10
575,9.98
576,11.15
577,10.99
578,11.21
579,10.96
580,10.58
581,11.19
582,10.53
583,10.91
584,11.37
585,10.31
586,11.02
587,9.84
588,10.81
589,10.46
590,10.89
591,11.14
592,10.87
593,11.43
594,9.95
595,10.24
596,10.43
597,9.09
598,10.44
599,10.58
600,8.92
601,8.7
602,9.67
603,10.03
604,9.62
605,8.99
606,9.03
607,9.82
608,8.89
609,10.21
610,10.32
611,10.53
612,11.18
613,9.94
614,6.91
615,8.72
616,10.13
617,9.25
618,9.1
619,10.38
620,10.15
621,11.04
622,9.89
623,11.04
624,10.54
625,9.79
626,9.79
627,9.98
628,9.72
629,10.66
630,9.69
631,9.58
632,8.18
633,9.26
634,10.79
635,10.59
636,10.2
637,11.05
638,9.5
639,9.4
640,9.32
641,10.29
642,11.38
643,10.41
644,11.23
645,11.49
646,11.26
647,11.16
648,10.57
649,11.43
650,10.19
651,10.54
652,11.83
653,10.55
654,10.81
655,8.78
656,9.44
657,8.84
658,10.88
659,10.15
660,10.35
661,9.39
662,10.58
663,9.85
664,9.88
665,10.79
666,10.2
667,9.9
668,9.94
669,10.46
670,10.02
671,10.04
672,10.19
673,10.15
674,10.51
675,10.06
676,9.21
677,9.68
678,9.75
679,9.01
680,9.15
681,8.82
682,9.25
683,8.64
684,8.8
685,9.87
686,9.97
687,9.16
688,10.23
689,10.07
690,9.55
691,10.35
692,10.02
693,11.34
694,9.6
695,9.38
696,9.23
697,11.05
698,10.76
699,11.5
700,12.13
701,11.38
702,13.3
703,13.16
704,11.44
705,11.32
